Category,ID,Number,Card,Meanings
Major Arcana,1,0,0 The Fool,"Beginnings, freedom, innocence, originality, adventure, idealism, spontaneity|Joyful, exuberant first steps|Small bag - cares nothing for possible dangers/obstacles|Close to the edge, but unaware/naive|Dog at heels barking in warning - if he does not become aware of his surroundings soon, he may never see all the adventures he dreams of encountering|0 - number of infinite potential|Blank slate, no clear personality|Anything can happen|Every day is a new adventure|Call to take a risk/leap of faith|Awe and curiosity"
Major Arcana,2,1,I The Magician,"Willpower, desire, creation, manifestation, resourcefulness, skill, ability, concentration|One hand to the sky, one to the ground - ""as above, so below""|Wields all four suits, connects all elements|Pure willpower|With power of elements he takes the potential of the fool and molds it into being|You are powerful, create your inner world and the outer world will follow|Need to tap into full potential|Don't hold back|Create your own world or someone else will do it for you"
Major Arcana,3,2,II The High Priestess,"Unconscious, intuition, mystery, spirituality, higher power, inner voice|Guardian of the unconscious and beckons the traveller to the world within|Complete grasp on emotions, ambitious|Inner knowledge, listen to your intuition rather than prioritising your intellect and conscious mind|Divine feminine - understands and holds answers to the deep unknowns; religion, self and nature.|Beginning to open her spirituality|Need for meditation, prayer and new spiritual work|Search for answers within yourself"
Major Arcana,4,3,III The Empress,"Motherhood, fertility, nature, divine feminine, sensuality, nurturing, creativity, beauty, abundance|Represents the Earth Mother|Complete love, harmony, fertility and luxury|Brings abundance and blessings|Shows deep connection to femininity (fertility, expression, creativity, nurturing)|Connect with beauty and bring happiness to your life|Be kind to yourself, take care of yourself|Birth of new idea, business or project|Good fortune|Bring forth your ideas and devote yourself to accomplishing them|Your ideas will be successful and well taken care of"
Major Arcana,5,4,IV The Emperor,"Stability, structure, protection, authority, control, practicality, focus, discipline, fatherliness|Stoic ruler figure|Rams heads - Aries|Sceptre - reign/right to rule, orb - symbol of kingdom he watches over|Long beard - vast experience|Strategic thinker|Paternal - gives structure, creates rules and systems, imparts knowledge|Honour and discipline|Acts rationally IAW greater good|Represents a chance to grow in terms of your goals|Successful future as long as you pursue your goals methodically and strategically|You may be put in charge of something important, called to act with wisdom, order and a clear decisive mind"
Major Arcana,6,5,V The Hierophant,"Tradition, social groups, conventionality, conformity, education, knowledge, beliefs|Religious figure in a formal environment|Right hand raised in blessing, triple cross - pope (the Father, the Son, the Holy Spirit)|Two acolytes - transfer of sacred knowledge|Masculine counterpart of the High Priestess - rather than following inner self, follow outer world (already established)|Embrace the conventional, follow well established processes, orthodox approach|Adapt to certain beliefs and systems, follow social structures"
Major Arcana,7,6,VI The Lovers,"Love, unions, partnerships, relationships, choices, romance, balance, unity|Harmony, attractiveness, perfection in a relationship|Trust and unity gives confidence and strength, empowering each party|Choose what is important in your life and what is not - follows on from Hierophant (develop your own beliefs/values)|Be true to yourself to be true and authentic to others"
Major Arcana,8,7,VII The Chariot,"Success, ambition, determination, willpower, control, self-discipline, focus|Black and white sphinxes - opposing forces that need to be controlled|Guide sphinxes to work together to reach a destination|Overcoming challenges, gaining victory through control of your surroundings|Maintain focus, confidence and determination|Pursue plans with a structured and ordered approach|Aggression may be used to help you take charge, but it may need to be reined in."
Major Arcana,9,8,VIII Strength,"Courage, bravery, confidence, compassion, self-confidence, inner power|Woman gracefully controlling lion, calm and collected|Maintain control and discipline in times of great adversity|Gentle control - love and compassion|Inner strength and fortitude during times of danger and distress|You are compassionate and always have time for others, even at your own expense|You are patient and likely to accomplish what you put your mind to|You are resilient and fearless|Your compassion will be rewarded with stability in your life"
Major Arcana,10,9,IX The Hermit,"Self-reflection, introspection, contemplation, withdrawal, solitude, search for self, search for truth|Six pointed star - wisdom, staff - authority and power|Seeker of knowledge that comes from within|Inner voice - to hear it one must disconnect from the crowds |Walks through dark night of unconscious, with destination being his home, his self|You are currently contemplating that you need to be alone|Take a chance to reflect, clear your mind|Take action that is authentic and aligned with your self|Appearance of someone who will be your mentor."
